ID,Acronym,Allen Level 1 Tissue,Allen Level 2 Tissue,Allen Level 3 Tissue,Allen Level 4 Tissue,Allen Level 5 Tissue,Allen Level 6 Tissue,Allen Level 7 Tissue,Allen Level 8 Tissue,Allen Level 9 Tissue,Tissue with gene expression,Mapped GTEx tissue
4005,Br,Brain,,,,,,,,,0,
4006,GM,,Grey Matter,,,,,,,,0,
4007,Tel,,,Telencephalon,,,,,,,0,
4008,Cx,,,,Cerebral Cortex,,,,,,0,
4009,FL,,,,,Frontal Lobe,,,,,0,Frontal_Cortex_BA9
4078,fro,,,,,,frontal operculum,,,,0,Frontal_Cortex_BA9
4079,fro,,,,,,,"frontal operculum, Left",,,1,Frontal_Cortex_BA9
4047,GRe,,,,,,gyrus rectus,,,,0,Frontal_Cortex_BA9
4048,GRe,,,,,,,"gyrus rectus, Left",,,1,Frontal_Cortex_BA9
4035,IFG,,,,,,inferior frontal gyrus,,,,0,Frontal_Cortex_BA9
4044,orIFG,,,,,,,"inferior frontal gyrus, orbital part",,,0,Frontal_Cortex_BA9
4045,orIFG,,,,,,,,"inferior frontal gyrus, orbital part, Left",,1,Frontal_Cortex_BA9
4038,trIFG,,,,,,,"Inferior frontal gyrus, triangular part",,,0,Frontal_Cortex_BA9
4039,trIFG,,,,,,,,"Inferior frontal gyrus, triangular part, Left",,1,Frontal_Cortex_BA9
4059,LOrG,,,,,,lateral orbital gyrus,,,,0,Frontal_Cortex_BA9
4060,LOrG,,,,,,,"lateral orbital gyrus, Left",,,1,Frontal_Cortex_BA9
4050,MOrG,,,,,,medial orbital gyrus,,,,0,Frontal_Cortex_BA9
4051,MOrG,,,,,,,"medial orbital gyrus, Left",,,1,Frontal_Cortex_BA9
4028,MFG,,,,,,middle frontal gyrus,,,,0,Frontal_Cortex_BA9
4029,MFG,,,,,,,"middle frontal gyrus, Left",,,0,Frontal_Cortex_BA9
4030,MFG-s,,,,,,,,"middle frontal gyrus, Left, superior bank of gyrus",,1,Frontal_Cortex_BA9
4031,MFG-i,,,,,,,,"middle frontal gyrus, Left, inferior bank of gyrus",,1,Frontal_Cortex_BA9
4071,PCLa,,,,,,"paracentral lobule, anterior part",,,,0,Frontal_Cortex_BA9
4072,PCLa,,,,,,,"paracentral lobule, anterior part, Left",,,0,Frontal_Cortex_BA9
4074,PCLa-i,,,,,,,,"paracentral lobule, anterior part, Left, inferior bank of gyrus",,1,Frontal_Cortex_BA9
4010,PrG,,,,,,precentral gyrus,,,,0,Frontal_Cortex_BA9
4011,PrG,,,,,,,"precentral gyrus, Left",,,0,Frontal_Cortex_BA9
4012,PrG-prc,,,,,,,,"precentral gyrus, Left, bank of the precentral sulcus",,1,Frontal_Cortex_BA9
4013,PrG-sl,,,,,,,,"precentral gyrus, Left, superior lateral aspect of gyrus",,1,Frontal_Cortex_BA9
4014,PrG-il,,,,,,,,"precentral gyrus, Left, inferior lateral aspect of gyrus",,1,Frontal_Cortex_BA9
4021,SFG,,,,,,superior frontal gyrus,,,,0,Frontal_Cortex_BA9
4022,SFG,,,,,,,"superior frontal gyrus, Left",,,0,Frontal_Cortex_BA9
4023,SFG-m,,,,,,,,"superior frontal gyrus, Left, medial bank of gyrus",,1,Frontal_Cortex_BA9
4024,SFG-l,,,,,,,,"superior frontal gyrus, Left, lateral bank of gyrus",,1,Frontal_Cortex_BA9
4268,Ins,,,,,Insula,,,,,0,
4269,LIG,,,,,,Long Insular Gyri,,,,0,
4270,LIG,,,,,,,"Long Insular Gyri, Left",,,1,
4272,SIG,,,,,,Short Insular Gyri,,,,0,
4273,SIG,,,,,,,"Short Insular Gyri, Left",,,1,
4219,LL,,,,,Limbic Lobe,,,,,0,
4220,CgG,,,,,,Cingulate gyrus,,,,0,
4221,CgGf,,,,,,,"Cingulate gyrus, frontal part",,,0,Anterior_cingulate_cortex_BA24
4222,CgGf,,,,,,,,"Cingulate gyrus, frontal part, Left",,0,Anterior_cingulate_cortex_BA24
4223,CgGf-s,,,,,,,,,"Cingulate gyrus, frontal part, Left, superior bank of gyrus",1,Anterior_cingulate_cortex_BA24
4224,CgGf-i,,,,,,,,,"Cingulate gyrus, frontal part, Left, inferior bank of gyrus",1,Anterior_cingulate_cortex_BA24
4228,CgGp,,,,,,,"Cingulate gyrus, parietal part",,,0,
4229,CgGp,,,,,,,,"Cingulate gyrus, parietal part, Left",,0,
4230,CgGp-s,,,,,,,,,"Cingulate gyrus, parietal part, Left, superior bank of gyrus",1,
4249,HiF,,,,,,hippocampal formation,,,,0,Hippocampus
12891,DG,,,,,,,Dentate Gyrus,,,0,Hippocampus
4258,DG,,,,,,,,"Dentate gyrus, Left",,1,Hippocampus
12892,CA1,,,,,,,CA1 field,,,0,Hippocampus
4254,CA1,,,,,,,,"CA1 field, Left",,1,Hippocampus
12893,CA2,,,,,,,CA2 field,,,0,Hippocampus
4255,CA2,,,,,,,,"CA2 field, Left",,1,Hippocampus
12894,CA3,,,,,,,CA3 field,,,0,Hippocampus
4256,CA3,,,,,,,,"CA3 field, Left",,1,Hippocampus
12895,CA4,,,,,,,CA4 field,,,0,Hippocampus
4257,CA4,,,,,,,,"CA4 field, Left",,1,Hippocampus
12896,S,,,,,,,Subiculum,,,0,Hippocampus
4251,S,,,,,,,,"subiculum, Left",,1,Hippocampus
4242,PHG,,,,,,parahippocampal gyrus,,,,0,
4243,PHG,,,,,,,"parahippocampal gyrus, Left",,,0,
4244,PHG-l,,,,,,,,"parahippocampal gyrus, Left, lateral bank of gyrus",,1,
4245,PHG-cos,,,,,,,,"parahippocampal gyrus, Left, bank of the cos",,1,
4180,OL,,,,,Occipital Lobe,,,,,0,
4184,Cun,,,,,,cuneus,,,,0,
4185,Cun,,,,,,,"cuneus, Left",,,0,
4186,Cun-pest,,,,,,,,"cuneus, Left, peristriate",,1,
4187,Cun-str,,,,,,,,"cuneus, Left, striate",,1,
4191,LiG,,,,,,lingual gyrus,,,,0,
4192,LiG,,,,,,,"lingual gyrus, Left",,,0,
4193,LiG-pest,,,,,,,,"lingual gyrus, Left, peristriate",,1,
4194,LiG-str,,,,,,,,"lingual gyrus, Left, striate",,1,
4198,OTG,,,,,,occipito-temporal gyrus,,,,0,
4199,OTG,,,,,,,"occipito-temporal gyrus, Left",,,0,
4200,OTG-s,,,,,,,,"occipito-temporal gyrus, Left, superior bank of gyrus",,1,
4201,OTG-i,,,,,,,,"occipito-temporal gyrus, Left, inferior bank of gyrus",,1,
4212,SOG,,,,,,superior occipital gyrus,,,,0,
4213,SOG,,,,,,,"superior occipital gyrus, Left",,,0,
4214,SOG-s,,,,,,,,"superior occipital gyrus, Left, superior bank of gyrus",,1,
